domain,has_avoid,has_date,has_destination,has_mode,has_movie,has_origin,has_theater,has_tickets,has_time,last_sys_type,turn,label
navigation,0,,1,1,,1,,,,REQUEST,4,avoid
navigation,0,,1,1,,1,,,,REQUEST,5,avoid
navigation,0,,1,1,,1,,,,REQUEST,6,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,7,avoid
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,1,,1,,,,REQUEST,4,avoid
navigation,0,,1,1,,1,,,,REQUEST,5,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,1,,1,,,,REQUEST,4,avoid
navigation,1,,1,1,,1,,,,REQUEST,5,CONFIRM
navigation,1,,1,1,,1,,,,CONFIRM,6,CONFIRM
navigation,1,,1,1,,1,,,,CONFIRM,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,1,1,0,REQUEST,1,date
movie,0,1,,,1,,1,1,0,REQUEST,2,time
movie,0,1,,,1,,1,1,0,REQUEST,3,time
movie,0,1,,,1,,1,1,0,REQUEST,4,time
movie,0,1,,,1,,1,1,0,REQUEST,5,time
movie,0,1,,,1,,1,1,0,REQUEST,6,time
movie,0,1,,,1,,1,1,1,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,1,,,0,,0,0,0,REQUEST,1,movie
movie,0,1,,,1,,0,1,0,REQUEST,2,theater
movie,0,1,,,1,,1,1,0,REQUEST,3,time
movie,0,1,,,1,,1,1,0,REQUEST,4,time
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,1,0,0,REQUEST,3,date
movie,0,1,,,1,,1,0,0,REQUEST,4,time
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,0,,,1,,1,1,0,REQUEST,2,date
movie,0,0,,,1,,1,1,0,REQUEST,3,date
movie,0,0,,,1,,1,1,1,REQUEST,4,date
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,0,,,,REQUEST,1,origin
navigation,0,,1,1,,1,,,,REQUEST,2,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,1,1,REQUEST,1,theater
movie,0,0,,,1,,1,1,1,REQUEST,2,date
movie,0,1,,,1,,1,1,1,REQUEST,3,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,1,0,0,REQUEST,3,date
movie,0,1,,,1,,1,0,0,REQUEST,4,time
movie,0,1,,,1,,1,0,1,REQUEST,5,tickets
movie,0,1,,,1,,1,1,1,REQUEST,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,0,0,,0,,,,REQUEST,2,destination
navigation,0,,1,0,,0,,,,REQUEST,3,origin
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,1,,1,,,,REQUEST,5,avoid
navigation,0,,1,1,,1,,,,REQUEST,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,1,,1,,,,REQUEST,5,avoid
navigation,0,,1,1,,1,,,,REQUEST,6,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,1,,,,REQUEST,1,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,2,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,1,0,REQUEST,2,theater
movie,0,0,,,1,,1,1,0,REQUEST,3,date
movie,0,0,,,1,,1,1,0,REQUEST,4,date
movie,0,0,,,1,,1,1,0,REQUEST,5,date
movie,0,1,,,1,,1,1,0,REQUEST,6,time
movie,0,1,,,1,,1,1,1,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,1,,,0,,0,0,0,REQUEST,1,movie
movie,0,1,,,1,,0,0,0,REQUEST,2,theater
movie,0,1,,,1,,0,0,0,REQUEST,3,theater
movie,0,1,,,1,,0,0,0,REQUEST,4,theater
movie,0,1,,,1,,1,1,0,REQUEST,5,time
movie,0,1,,,1,,1,1,0,REQUEST,6,time
movie,0,1,,,1,,1,1,0,REQUEST,7,time
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,0,,,,REQUEST,3,origin
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,1,,1,,,,REQUEST,5,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,0,0,,0,,,,REQUEST,2,destination
navigation,0,,1,0,,0,,,,REQUEST,3,origin
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,0,,1,,,,REQUEST,5,mode
navigation,0,,1,1,,1,,,,REQUEST,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,avoid
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,1,,1,,,,REQUEST,1,destination
navigation,0,,1,1,,1,,,,REQUEST,2,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,5,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,1,,,,REQUEST,2,mode
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,1,,1,,,,REQUEST,4,avoid
navigation,0,,1,1,,1,,,,REQUEST,5,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,0,,,,REQUEST,3,origin
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,1,,1,,,,REQUEST,5,avoid
navigation,0,,1,1,,1,,,,REQUEST,6,avoid
navigation,1,,1,1,,1,,,,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,1,0,1,REQUEST,3,date
movie,0,1,,,1,,1,1,1,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,1,,,,REQUEST,2,mode
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,avoid
navigation,1,,1,1,,1,,,,REQUEST,5,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,1,,,1,,0,0,0,REQUEST,1,theater
movie,0,1,,,1,,1,0,0,REQUEST,2,time
movie,0,1,,,1,,1,0,1,REQUEST,3,tickets
movie,0,1,,,1,,1,1,1,REQUEST,4,CONFIRM
movie,0,1,,,1,,1,1,1,CONFIRM,5,CONFIRM
movie,0,1,,,1,,1,1,1,CONFIRM,6,CONFIRM
movie,0,1,,,1,,1,1,1,CONFIRM,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,1,,,,REQUEST,1,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,2,avoid
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,5,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,1,,,,REQUEST,2,mode
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,1,,1,,,,REQUEST,2,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,3,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,0,,,,REQUEST,1,origin
navigation,0,,1,1,,0,,,,REQUEST,2,origin
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,1,,1,,,,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,0,0,,1,,,,REQUEST,2,destination
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,5,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,0,0,,0,,,,REQUEST,2,destination
navigation,0,,1,0,,0,,,,REQUEST,3,origin
navigation,0,,1,0,,0,,,,REQUEST,4,origin
navigation,0,,1,0,,1,,,,REQUEST,5,mode
navigation,0,,1,1,,1,,,,REQUEST,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,1,,,,REQUEST,1,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,2,avoid
navigation,1,,1,1,,1,,,,REQUEST,3,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,1,,,0,,0,0,0,REQUEST,1,movie
movie,0,1,,,1,,0,0,0,REQUEST,2,theater
movie,0,1,,,1,,1,0,0,REQUEST,3,time
movie,0,1,,,1,,1,0,1,REQUEST,4,tickets
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
movie,0,1,,,1,,1,1,1,CONFIRM,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,0,,,,REQUEST,3,origin
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,0,,1,,,,REQUEST,5,mode
navigation,0,,1,1,,1,,,,REQUEST,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,1,,,,REQUEST,1,mode
navigation,0,,1,1,,1,,,,REQUEST,2,avoid
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,1,,,1,,1,0,1,REQUEST,2,tickets
movie,0,1,,,1,,1,0,1,REQUEST,3,tickets
movie,0,1,,,1,,1,0,1,REQUEST,4,tickets
movie,0,1,,,1,,1,0,1,REQUEST,5,tickets
movie,0,1,,,1,,1,1,1,REQUEST,6,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,0,0,,0,,,,REQUEST,2,destination
navigation,0,,1,1,,1,,,,REQUEST,3,avoid
navigation,0,,1,1,,1,,,,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,1,,,,REQUEST,2,mode
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,1,0,0,REQUEST,1,date
movie,0,1,,,1,,1,0,0,REQUEST,2,time
movie,0,1,,,1,,1,0,1,REQUEST,3,tickets
movie,0,1,,,1,,1,1,1,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,1,,1,,,,REQUEST,2,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,avoid
navigation,0,,1,1,,1,,,,REQUEST,5,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,1,,,,REQUEST,1,mode
navigation,0,,1,1,,1,,,,REQUEST,2,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,avoid
navigation,0,,1,1,,1,,,,REQUEST,5,avoid
navigation,0,,1,1,,1,,,,REQUEST,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,avoid
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,1,,0,,,,REQUEST,3,origin
navigation,0,,1,1,,0,,,,REQUEST,4,origin
navigation,0,,1,1,,0,,,,REQUEST,5,origin
navigation,0,,1,1,,1,,,,REQUEST,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,1,,,1,,0,0,1,REQUEST,1,theater
movie,0,1,,,1,,0,0,1,REQUEST,2,theater
movie,0,1,,,1,,1,1,1,REQUEST,3,CONFIRM
movie,0,1,,,1,,1,1,1,CONFIRM,4,CONFIRM
movie,0,1,,,1,,1,1,1,CONFIRM,5,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,1,,1,,,,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,1,,1,,,,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,1,,,,REQUEST,1,mode
navigation,0,,1,0,,1,,,,REQUEST,2,mode
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,1,,,1,,1,0,0,REQUEST,3,time
movie,0,1,,,1,,1,0,0,REQUEST,4,time
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,0,0,0,REQUEST,3,theater
movie,0,0,,,1,,1,1,0,REQUEST,4,date
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,1,,1,,,,REQUEST,2,avoid
navigation,1,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,1,,1,1,,1,,,,CONFIRM,4,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,1,0,0,REQUEST,2,date
movie,0,0,,,1,,1,0,0,REQUEST,3,date
movie,0,1,,,1,,1,0,0,REQUEST,4,time
movie,0,1,,,1,,1,0,1,REQUEST,5,tickets
movie,0,1,,,1,,1,0,1,REQUEST,6,tickets
movie,0,1,,,1,,1,1,1,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,1,0,1,REQUEST,2,date
movie,0,1,,,1,,1,0,1,REQUEST,3,tickets
movie,0,1,,,1,,1,1,1,REQUEST,4,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,1,1,0,REQUEST,3,date
movie,0,0,,,1,,1,1,0,REQUEST,4,date
movie,0,1,,,1,,1,1,0,REQUEST,5,time
movie,0,1,,,1,,1,1,1,REQUEST,6,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,0,0,0,REQUEST,3,theater
movie,0,0,,,1,,1,0,1,REQUEST,4,date
movie,0,0,,,1,,1,0,1,REQUEST,5,date
movie,0,1,,,1,,1,0,1,REQUEST,6,tickets
movie,0,1,,,1,,1,0,1,REQUEST,7,tickets
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,0,,,1,,1,1,1,REQUEST,2,date
movie,0,1,,,1,,1,1,1,REQUEST,3,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,0,,,,REQUEST,3,origin
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,1,,1,,,,REQUEST,5,avoid
navigation,0,,1,1,,1,,,,REQUEST,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,0,,,1,,1,0,1,REQUEST,2,date
movie,0,1,,,1,,1,0,1,REQUEST,3,tickets
movie,0,1,,,1,,1,1,1,REQUEST,4,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,1,,,1,,1,1,0,REQUEST,3,time
movie,0,1,,,1,,1,1,1,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,1,,1,,,,REQUEST,4,avoid
navigation,0,,1,1,,1,,,,REQUEST,5,avoid
navigation,0,,1,1,,1,,,,REQUEST,6,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,1,,,1,,1,0,0,REQUEST,2,time
movie,0,1,,,1,,1,1,0,REQUEST,3,time
movie,0,1,,,1,,1,1,0,REQUEST,4,time
movie,0,1,,,1,,1,1,0,REQUEST,5,time
movie,0,1,,,1,,1,1,0,REQUEST,6,time
movie,0,1,,,1,,1,1,1,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,1,0,0,REQUEST,1,date
movie,0,0,,,1,,1,0,0,REQUEST,2,date
movie,0,1,,,1,,1,0,0,REQUEST,3,time
movie,0,1,,,1,,1,0,0,REQUEST,4,time
movie,0,1,,,1,,1,0,1,REQUEST,5,tickets
movie,0,1,,,1,,1,1,1,REQUEST,6,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,1,0,0,REQUEST,3,date
movie,0,1,,,1,,1,0,0,REQUEST,4,time
movie,0,1,,,1,,1,0,1,REQUEST,5,tickets
movie,0,1,,,1,,1,1,1,REQUEST,6,CONFIRM
movie,0,1,,,1,,1,1,1,CONFIRM,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,1,,,,REQUEST,2,mode
navigation,0,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,1,,,1,,0,0,0,REQUEST,1,theater
movie,0,1,,,1,,1,0,0,REQUEST,2,time
movie,0,1,,,1,,1,0,1,REQUEST,3,tickets
movie,0,1,,,1,,1,0,1,REQUEST,4,tickets
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,0,,,,REQUEST,1,origin
navigation,0,,1,1,,1,,,,REQUEST,2,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,0,,1,,,,REQUEST,3,mode
navigation,0,,1,0,,1,,,,REQUEST,4,mode
navigation,0,,1,0,,1,,,,REQUEST,5,mode
navigation,0,,1,1,,1,,,,REQUEST,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,avoid
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,0,,,,REQUEST,1,origin
navigation,0,,1,1,,1,,,,REQUEST,2,avoid
navigation,1,,1,1,,1,,,,REQUEST,3,CONFIRM
navigation,1,,1,1,,1,,,,CONFIRM,4,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,0,0,0,REQUEST,1,theater
movie,0,0,,,1,,1,0,0,REQUEST,2,date
movie,0,0,,,1,,1,0,0,REQUEST,3,date
movie,0,1,,,1,,1,0,0,REQUEST,4,time
movie,0,1,,,1,,1,0,1,REQUEST,5,tickets
movie,0,1,,,1,,1,0,1,REQUEST,6,tickets
movie,0,1,,,1,,1,1,1,REQUEST,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,1,,1,,,,REQUEST,3,avoid
navigation,0,,1,1,,1,,,,REQUEST,4,avoid
navigation,0,,1,1,,1,,,,REQUEST,5,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,6,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,0,0,,0,,,,REQUEST,1,destination
navigation,0,,0,0,,0,,,,REQUEST,2,destination
navigation,0,,0,0,,0,,,,REQUEST,3,destination
navigation,0,,1,1,,0,,,,REQUEST,4,origin
navigation,0,,1,1,,0,,,,REQUEST,5,origin
navigation,0,,1,1,,1,,,,REQUEST,6,avoid
navigation,0,,1,1,,1,,,,REQUEST,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,1,,1,,,,REQUEST,2,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,0,1,1,REQUEST,3,theater
movie,0,0,,,1,,1,1,1,REQUEST,4,date
movie,0,0,,,1,,1,1,1,REQUEST,5,date
movie,0,0,,,1,,1,1,1,REQUEST,6,date
movie,0,1,,,1,,1,1,1,REQUEST,7,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,1,0,0,REQUEST,1,date
movie,0,1,,,1,,1,0,0,REQUEST,2,time
movie,0,1,,,1,,1,0,0,REQUEST,3,time
movie,0,1,,,1,,1,0,1,REQUEST,4,tickets
movie,0,1,,,1,,1,1,1,REQUEST,5,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,1,,1,0,0,REQUEST,1,date
movie,0,0,,,1,,1,0,0,REQUEST,2,date
movie,0,1,,,1,,1,1,0,REQUEST,3,time
movie,0,1,,,1,,1,1,0,REQUEST,4,time
movie,0,1,,,1,,1,1,0,REQUEST,5,time
movie,0,1,,,1,,1,1,0,REQUEST,6,time
movie,0,1,,,1,,1,1,1,REQUEST,7,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,1,,1,,,,REQUEST,1,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,2,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,3,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,4,CONFIRM
navigation,0,,1,1,,1,,,,CONFIRM,5,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,1,,1,,,,REQUEST,2,avoid
navigation,0,,1,1,,1,,,,REQUEST,3,avoid
navigation,0,,1,1,,1,,,,REQUEST,4,CONFIRM
movie,0,0,,,0,,0,0,0,NONE,0,movie
movie,0,0,,,0,,0,0,0,REQUEST,1,movie
movie,0,0,,,1,,0,0,0,REQUEST,2,theater
movie,0,0,,,1,,1,0,0,REQUEST,3,date
movie,0,0,,,1,,1,0,0,REQUEST,4,date
movie,0,1,,,1,,1,0,0,REQUEST,5,time
movie,0,1,,,1,,1,0,0,REQUEST,6,time
movie,0,1,,,1,,1,0,1,REQUEST,7,tickets
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
navigation,0,,1,0,,0,,,,REQUEST,2,origin
navigation,0,,1,1,,0,,,,REQUEST,3,origin
navigation,0,,1,1,,1,,,,REQUEST,4,CONFIRM
navigation,0,,0,0,,0,,,,NONE,0,destination
navigation,0,,1,0,,0,,,,REQUEST,1,origin
